67
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.00401574,0.672825,0.403732,-0.619913,4.12915,1.47607,0.999496,10,1,1,10.88
2,0.000138674,0.456793,0.515076,-0.725284,4.09457,0.948774,0.95358,16,1,1,17.344
3,-0.179182,-0.41945,0.251375,-0.853678,0.880712,0.947258,4.82974,5,1,1,1.408
4,0.543736,-0.255139,0.533671,-0.595358,1.97204,1.28855,2.84951,13,1,1,11.968
5,-0.0386176,-0.134542,0.567018,-0.811725,0.68154,0.280872,4.38216,12,1,1,10.048
6,0.652395,0.163987,-0.501442,0.5441,5.78482,1.47567,5.2923,7,1,1,6.464
7,0.565963,0.265488,0.389059,-0.676635,3.05838,1.35062,2.18115,6,1,1,4.224
8,0.322899,-0.347853,0.438871,-0.762972,1.79702,0.989069,3.44218,9,1,1,4.16
9,-0.00801503,-0.0203726,0.705935,-0.707939,0.411993,0.0437886,4.30323,12,1,1,5.312
10,0.616882,0.0179037,0.318138,-0.719669,2.75438,1.33021,2.69635,9,1,1,6.08
11,-0.455174,-0.370909,0.40353,-0.701717,0.161864,1.25509,5.07756,14,1,1,13.696
12,0.56237,-0.389241,-0.432245,0.587704,5.04361,1.50629,6.25447,7,1,1,7.424
13,0.325425,-0.435083,0.454424,-0.705904,1.64102,1.14878,3.49823,8,1,1,7.552
14,-0.252419,0.403624,0.543844,-0.69109,4.60454,0.992325,0.345197,7,1,1,12.736
15,-0.0345643,0.109041,0.532582,-0.838613,4.45354,0.229278,0.69802,13,1,1,7.808
16,0.418385,-0.119876,-0.252897,0.864076,5.71941,0.900565,6.2775,6,1,1,7.808
17,-0.115953,-0.977327,0.0522604,-0.169278,5.04708,1.29601,0.401323,16,1,0,13.632
18,0.579123,-0.321829,0.408428,-0.627877,2.05765,1.44841,3.0721,9,1,1,12.096
19,0.419218,-0.104529,0.555656,-0.710335,2.23341,0.893537,2.72213,6,1,1,7.936
20,-0.115953,-0.977327,0.0522604,-0.169278,0.509134,1.64835,5.64946,13,1,0,7.296
21,0.80639,-0.46463,0.293209,0.218821,4.49465,2.93797,3.37279,10,1,0,8.128
22,-0.634611,-0.312573,0.183314,-0.682615,0.195307,1.57166,5.56316,5,1,1,3.264
23,0.731791,0.464247,-0.306388,-0.393805,4.36812,2.09681,3.23746,10,1,1,7.744
24,0.550188,0.548493,0.589693,0.220705,1.99652,1.77941,0.428809,8,1,1,8.512
25,0.667286,0.426322,0.141711,-0.594051,3.47594,1.82765,2.33889,6,1,1,8.448
26,0.670441,0.285797,-0.580516,-0.363084,4.55642,1.63318,3.75051,7,1,1,5.504
27,0.595207,0.43147,-0.604154,0.307508,5.81045,1.65176,4.55596,6,1,1,2.944
28,0.636636,0.504976,-0.276775,-0.512923,4.307,1.89717,2.96584,6,1,1,7.552
29,0.750545,0.47527,0.346358,-0.301393,2.85139,2.18756,1.72239,7,1,1,9.792
30,0.686873,0.635792,-0.352064,0.00507076,4.25373,2.71552,3.04226,15,1,0,9.088
31,0.67529,0.382988,0.230344,-0.586724,3.2834,1.77766,2.25157,13,1,1,16.384
32,0.593658,0.478598,0.469881,-0.444663,3.00713,1.7345,1.65013,11,1,1,6.016
33,0.910562,0.36888,0.170746,-0.0751629,2.37038,2.76628,1.60057,8,1,1,6.144
34,0.404124,-0.275233,-0.871897,0.0269556,3.18295,1.9698,2.25096,12,1,0,10.432
35,-0.916931,-0.323401,0.05253,-0.227793,0.112435,2.66968,5.71747,7,1,1,11.328
36,0.793722,0.40218,-0.432099,0.146789,5.50886,2.19381,4.57087,10,1,1,13.632
37,0.620099,0.543755,0.407234,0.392387,1.52386,1.93948,0.0840673,7,1,1,2.432
38,0.789426,0.548062,0.230994,0.151907,1.59594,2.58136,0.382222,6,1,1,9.792
39,0.58672,0.571877,-0.0571603,-0.570482,4.01404,1.92044,2.46887,7,1,1,5.376
40,0.676413,0.242582,0.573168,0.393825,1.31312,1.60356,0.624435,8,1,1,11.84
41,0.781899,0.299374,-0.546041,0.0291253,5.13134,1.98448,4.40002,8,1,1,12.8
42,0.724116,0.221649,0.125513,-0.640917,3.24525,1.71827,2.65117,12,1,1,10.112
43,0.768903,0.486059,0.393049,-0.134342,2.46386,2.28489,1.33642,8,1,1,14.656
44,0.818757,0.367525,0.410722,0.16084,1.61947,2.22796,0.775627,6,1,1,4.096
45,0.927842,0.25063,0.150528,-0.231592,2.82906,2.58189,2.30141,9,1,1,8.256
46,0.182042,-0.85664,-0.436716,-0.20569,5.47359,2.42196,3.97999,14,1,0,7.872
47,0.58142,0.519517,0.571499,0.255814,1.87915,1.78841,0.420694,8,1,1,9.216
48,0.8606,0.489655,-0.134974,0.0372433,5.49891,2.86063,4.46433,6,1,1,13.248
49,-0.804477,-0.408243,0.154496,-0.402847,0.10339,2.24938,5.44737,10,1,1,9.152
50,0.754575,0.284645,-0.566262,-0.170121,4.78126,1.87634,4.05982,13,1,1,13.696
51,-0.833915,-0.42484,-0.0701659,-0.345215,0.671701,2.42159,6.01253,4,1,1,3.072
52,-0.412354,0.440787,0.323203,-0.728842,5.89692,2.14761,4.67074,13,1,0,9.28
53,-0.662224,-0.423346,0.092073,-0.611359,0.419321,1.80856,5.5649,10,1,1,7.808
54,-0.412354,0.440787,0.323203,-0.728842,4.98908,1.70189,5.2242,19,1,0,14.976
55,0.89145,-0.233812,0.207817,0.327814,0.308502,2.34438,0.821513,11,1,1,11.136
56,0.832604,0.198356,-0.105406,-0.506276,3.58074,2.0546,3.11298,10,1,1,5.504
57,0.999556,-0.0117293,0.0164388,-0.0219115,2.48621,3.0868,2.50968,7,1,1,11.904
58,0.840376,-0.137369,-0.308064,0.424257,5.49311,2.03779,5.81717,13,1,1,11.84
59,0.785284,-0.177191,0.375725,0.459089,0.463945,1.87144,0.907792,10,1,1,6.336
60,0.878294,-0.011439,-0.47392,-0.0621979,4.56887,2.14488,4.59492,6,1,1,6.464
61,0.974689,0.161183,0.14133,-0.0634599,2.15672,2.83049,1.82895,6,1,1,10.688
62,0.941157,0.245916,0.223108,-0.0630257,2.10169,2.67366,1.59053,7,1,1,7.68
63,0.980653,0.0315813,-0.192164,0.0198795,4.84767,2.75277,4.78328,8,1,1,7.68
64,0.849649,0.199097,0.381131,-0.30528,2.47631,2.12127,2.01596,10,1,1,7.168
65,0.75795,-0.0523755,-0.461432,-0.458093,3.86163,1.72588,3.99961,5,1,1,8.064
66,0.840156,0.156679,0.299355,0.424236,0.798866,2.04972,0.430125,14,1,1,17.408
67,0.917542,-0.225072,-0.107345,-0.309737,3.23466,2.47362,3.71576,6,1,1,2.368
