65
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.274781,0.461374,0.454784,-0.710493,3.60585,1.13376,1.53857,6,1,1,6.72
2,-0.0780246,0.265344,0.477455,-0.833991,4.47843,0.560463,0.764858,8,1,1,7.808
3,0.653855,-0.0603539,0.201373,-0.726829,2.77927,1.4327,2.96336,9,1,1,10.752
4,0.485104,-0.501136,-0.690927,-0.190151,3.64217,1.54372,5.24548,12,1,1,11.264
5,0.171914,0.327409,0.880714,0.295957,2.3339,0.757585,0.159318,6,1,1,9.6
6,0.376052,-0.441956,0.748619,0.320671,0.300302,1.23818,2.03188,6,1,1,4.544
7,-0.0274901,0.635844,-0.72579,-0.261105,5.98106,1.37974,2.75305,5,1,1,2.816
8,0.40679,0.319601,0.747701,0.416318,1.72869,1.08744,0.39681,11,1,1,7.616
9,0.615434,0.0228811,0.667657,0.418273,1.0483,1.32695,0.973972,10,1,1,8
10,0.177908,0.531306,-0.743282,-0.365507,5.50305,1.1895,3.00768,5,1,1,6.656
11,0.430746,-0.476256,-0.721556,-0.258835,3.53244,1.39461,5.2035,16,1,1,18.496
12,0.0836127,-0.277932,-0.835461,-0.466656,2.92443,0.588948,5.48157,5,1,1,11.84
13,0.443319,-0.314114,0.733589,0.408225,0.446552,1.14878,1.67944,9,1,1,9.408
14,0.402751,-0.155685,0.766161,0.475974,0.64604,0.892961,1.38376,10,1,1,19.136
15,0.297083,-0.152282,-0.697616,-0.633943,3.5011,0.680745,4.44844,10,1,1,18.112
16,0.139459,-0.0248886,0.738123,0.659626,0.664893,0.284282,1.0181,8,1,1,8.64
17,0.317874,-0.188076,-0.849724,-0.376234,3.76129,0.75661,4.82983,6,1,1,7.296
18,0.211145,0.54702,-0.773769,-0.239726,5.61438,1.25311,3.20953,11,1,1,8.448
19,0.106532,0.261725,-0.711853,-0.642974,5.16203,0.572956,2.79355,16,1,0,13.888
20,-0.151612,-0.363619,-0.78097,-0.484645,2.19115,0.809873,6.12281,7,1,1,8.064
21,0.0826303,-0.00965958,0.95457,0.286138,1.16319,0.166579,1.39594,8,1,1,10.944
22,0.439924,0.16882,-0.725678,-0.501356,4.47423,0.981311,3.74139,8,1,1,6.976
23,-0.0899359,-0.680825,-0.654709,-0.315823,2.5608,1.51399,5.96507,14,1,1,14.208
24,0.588316,-0.086779,0.702736,0.390532,0.917116,1.27374,1.21001,8,1,1,6.592
25,-0.186098,0.593878,-0.663237,-0.415684,6.027,1.34349,2.27807,16,1,1,16.128
26,0.216342,-0.00963202,-0.922949,-0.318228,4.33587,0.436572,4.42485,4,1,1,6.592
27,-0.163396,0.477757,-0.684503,-0.525838,5.95767,1.05859,2.15701,7,1,1,9.536
28,-0.0128166,-0.513998,-0.786733,-0.341603,2.70702,1.08005,5.89847,12,1,1,7.744
29,0.384471,0.549972,-0.699137,-0.246821,5.3337,1.47121,3.41232,6,1,1,3.84
30,0.431981,0.258491,-0.808277,-0.305391,4.89037,1.05509,3.81191,8,1,1,9.792
31,-0.0269871,-0.628008,-0.775058,-0.0645212,0.856497,1.44699,0.831927,12,1,0,6.592
32,-0.0598496,-0.35902,-0.791572,-0.490852,2.42134,0.745064,5.8933,13,1,1,7.936
33,0.622696,-0.0913475,-0.730944,-0.263869,4.22029,1.36146,4.51161,5,1,1,10.24
34,-0.0269871,-0.628008,-0.775058,-0.0645212,2.95698,1.57015,0.105755,14,1,0,9.664
35,-0.0269871,-0.628008,-0.775058,-0.0645212,0.0420647,1.43108,3.58683,12,1,0,8.512
36,0.549155,-0.211376,0.802126,-0.101698,1.32948,1.25823,2.06434,12,1,1,12.8
37,0.497608,0.252932,-0.827134,-0.0652786,5.10389,1.18443,4.16337,10,1,1,6.208
38,0.106991,-0.610238,0.782681,-0.0597815,0.249795,1.33633,3.04426,9,1,1,7.872
39,0.0131678,0.498757,-0.859894,-0.107934,6.13192,1.04473,3.04312,10,1,1,15.424
40,0.275723,-0.176106,0.932589,0.152452,0.840363,0.666603,1.97715,9,1,1,15.04
41,0.398323,-0.0108733,0.916987,-0.0188535,1.56406,0.819699,1.61864,14,1,1,15.488
42,0.645153,0.208051,-0.732802,0.0590991,5.10482,1.48972,4.48091,7,1,1,5.184
43,0.354498,0.275218,0.881651,-0.145867,2.39492,0.930825,1.0746,7,1,1,7.808
44,0.448102,-0.50398,-0.73816,0.0181237,3.89292,1.48025,5.58096,9,1,1,9.536
45,0.450442,-0.466834,-0.760682,-0.0230457,3.87884,1.41179,5.48537,6,1,1,3.52
46,0.0683891,0.478821,0.874925,0.0236374,2.97271,1.00971,0.114859,7,1,1,3.456
47,0.137404,-0.319797,-0.937279,0.0189332,3.5676,0.711015,5.89757,11,1,1,6.592
48,0.184705,-0.642416,0.730275,-0.141013,0.470713,1.46422,3.05238,7,1,1,4.736
49,0.147063,-0.570621,0.785481,0.189168,0.0159044,1.2603,2.65303,5,1,1,2.688
50,0.0279805,-0.300579,0.941832,-0.147723,0.2484,0.613326,3.20435,5,1,1,8.256
51,0.110377,0.360298,0.926091,-0.0188893,2.86472,0.772735,0.317664,3,1,1,1.344
52,0.297137,-0.394999,-0.848966,0.186929,4.00326,1.03402,5.85497,7,1,1,8.256
53,0.473588,-0.213514,0.847667,0.107648,1.02092,1.09252,1.86803,7,1,1,10.304
54,0.177179,0.379624,-0.895328,-0.151265,5.67914,0.864544,3.4109,7,1,1,4.16
55,0.179852,0.177371,-0.967383,0.0190507,5.51053,0.510735,3.95363,8,1,1,12.288
56,0.655013,0.225295,0.706525,0.144992,1.69967,1.53039,1.03711,5,1,1,4.48
57,0.069716,0.072197,0.966855,-0.234773,2.61189,0.201064,1.00613,15,1,1,14.272
58,0.106532,0.261725,-0.711853,-0.642974,3.01559,1.35947,6.24308,19,1,0,15.168
59,0.474926,0.151955,0.860664,-0.103016,1.99959,1.04407,1.38026,10,1,1,8
60,0.0967315,-0.155511,-0.971004,-0.15366,3.5411,0.368362,5.56978,10,1,1,11.008
61,0.45327,0.370827,-0.788166,-0.189283,5.16238,1.25132,3.79101,11,1,1,6.144
62,0.152241,0.278948,0.945795,0.0669514,2.57133,0.646791,0.428917,15,1,1,11.648
63,0.476558,-0.0107806,0.876597,0.0659846,1.47305,0.993749,1.51828,8,1,1,10.432
64,0.193929,-0.17684,0.952724,0.153087,0.672135,0.531124,2.15081,12,1,1,9.728
65,0.30344,-0.0719204,-0.94811,0.0619553,4.54492,0.634272,5.01036,10,1,1,6.464
