65
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.606198,0.380783,0.43458,-0.546505,3.03065,1.59574,1.90893,8,1,1,8.256
2,0.85334,0.425782,-0.300753,-0.0082094,5.14791,2.53039,4.22228,8,1,1,13.888
3,0.803246,0.546144,0.0656085,-0.228515,3.45913,2.6615,2.26488,6,1,1,9.28
4,0.897993,0.255451,-0.000871283,-0.358264,3.42117,2.40878,2.86688,17,1,1,14.656
5,0.580706,0.509208,0.516943,-0.36913,2.91079,1.76504,1.47101,8,1,1,14.912
6,0.706047,0.48809,-0.501825,0.106942,5.52722,2.06402,4.31749,6,1,1,6.848
7,-0.582172,-0.413981,-0.238574,-0.657858,0.966036,1.59141,6.01295,9,1,1,10.752
8,0.85916,0.283115,-0.23928,-0.352752,4.05594,2.26091,3.4193,9,1,1,7.68
9,0.904666,0.355758,0.2135,0.0971279,1.51852,2.66807,0.769176,10,1,1,9.664
10,0.644634,0.298495,-0.107819,-0.695501,3.72904,1.5801,2.86174,8,1,1,6.72
11,0.740349,0.314655,-0.555734,0.209843,5.47531,1.86947,4.67156,9,1,1,9.28
12,0.697715,0.386161,-0.258691,-0.545117,4.09018,1.84611,3.07918,11,1,1,6.656
13,0.68326,0.330362,-0.648438,0.0595427,5.25432,1.72335,4.35359,6,1,1,4.096
14,0.723872,0.649013,0.213065,0.0969301,1.87477,2.66905,0.412923,7,1,1,9.088
15,0.733171,0.40648,-0.0803578,-0.539236,3.79575,1.98836,2.7833,6,1,1,3.392
16,0.686927,0.47666,-0.440194,0.327348,5.95843,1.98029,4.74519,8,1,1,5.184
17,0.375399,0.0806647,-0.375615,-0.843494,3.7722,0.788179,3.34888,10,1,1,9.152
18,0.0787557,0.609021,-0.686816,-0.388812,0.914214,1.17393,6.18848,19,1,0,14.912
19,0.0787557,0.609021,-0.686816,-0.388812,2.58024,1.02179,4.8221,16,1,0,15.488
20,-0.209032,0.257172,-0.244893,-0.911151,5.65746,0.675592,1.15086,16,1,1,13.12
21,0.405492,0.0383296,0.554057,0.726035,0.746096,0.838991,0.557604,4,1,1,3.776
22,-0.135803,0.186361,-0.652339,-0.721998,6.07688,0.465373,1.67582,8,1,1,6.912
23,0.390623,0.024426,-0.450528,-0.802397,3.71565,0.804274,3.59076,11,1,1,12.736
24,0.564779,-0.360108,-0.288112,-0.684353,2.97246,1.46792,4.10768,8,1,1,6.976
25,0.472556,0.427564,-0.263032,-0.724358,4.22537,1.38192,2.75446,7,1,1,7.808
26,0.698799,-0.132509,0.323644,0.624,0.291066,1.58255,0.665863,7,1,1,7.424
27,0.093358,0.643362,-0.218307,-0.727813,4.8597,1.41543,2.00631,5,1,1,4.224
28,0.290287,0.178878,-0.497332,-0.797745,4.25131,0.695908,3.1468,8,1,1,12.992
29,-0.171004,0.206241,-0.67875,-0.683755,6.18638,0.542453,1.66026,7,1,1,2.368
30,-0.386087,-0.502429,-0.377526,-0.67526,1.42539,1.37249,5.87738,8,1,1,12.16
31,-0.117394,0.45719,-0.467741,-0.747271,5.523,0.983164,1.87872,9,1,1,8.384
32,-0.290839,-0.194808,-0.244538,-0.904248,2.77847,0.818832,4.62099,15,1,0,12.416
33,0.0385402,-0.00992746,-0.527243,-0.848782,3.44533,0.0796176,3.94954,7,1,1,1.792
34,-0.039392,-0.0612205,-0.665538,-0.742805,1.72963,0.145727,6.01473,8,1,1,8.512
35,-0.419898,-0.481633,-0.445249,-0.62727,1.47106,1.38632,6.0467,9,1,1,8.448
36,-0.484849,-0.267689,-0.331704,-0.763699,0.854294,0.715256,5.95712,11,1,0,9.92
37,0.269121,0.630547,-0.423978,-0.5918,4.93065,1.51079,2.59586,6,1,1,5.312
38,0.238946,0.255643,-0.382118,-0.855299,4.3809,0.714986,2.74261,3,1,1,6.528
