64
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.450867,-0.259439,-0.4521,0.72458,5.20319,1.09413,6.2475,7,1,1,14.72
2,0.130678,-0.0247393,-0.325644,0.936091,5.7613,0.266789,6.1355,6,1,1,5.312
3,0.00655989,-0.676247,0.459722,-0.575589,0.906549,1.4854,4.02874,6,1,1,10.112
4,0.433455,-0.25639,0.83112,-0.235841,2.96735,0.814354,2.11096,15,1,0,11.776
5,0.186166,0.301569,0.299184,-0.885938,3.83365,0.724553,1.79818,5,1,1,3.008
6,0.336883,-0.537334,0.478929,-0.606967,1.46277,1.37396,3.48436,14,1,1,16.768
7,0.360265,0.164439,0.520323,-0.756593,5.94917,1.24815,5.18892,13,1,0,9.344
8,0.335524,-0.0398261,0.260695,-0.904365,2.74279,0.689325,2.97908,8,1,1,10.112
9,0.433484,-0.215523,0.565501,-0.66772,1.9775,1.01068,2.90029,7,1,1,9.728
10,0.19205,-0.448018,0.26993,-0.830382,1.66148,1.01832,3.99313,9,1,1,9.344
11,-0.205097,-0.257459,0.602473,-0.727102,0.206183,0.670839,4.69313,9,1,1,8.32
12,-0.467188,0.292119,0.251675,-0.795652,5.41804,1.16712,0.252439,6,1,1,7.104
13,-0.142411,0.611474,0.264842,-0.7319,4.59401,1.35755,0.994781,8,1,1,4.16
14,-0.0591623,0.396299,0.587507,-0.703052,4.16448,0.824542,0.726498,7,1,1,12.736
15,0.471135,0.0329103,-0.568942,0.673241,5.6513,0.983759,5.51182,13,1,1,13.888
16,0.320064,-0.587607,0.463147,-0.581182,1.3967,1.46605,3.54078,7,1,1,12.672
17,0.526936,0.0270154,0.413538,-0.742021,2.68438,1.11161,2.58193,6,1,1,4.352
18,0.433455,-0.25639,0.83112,-0.235841,3.04014,1.25967,1.70909,10,1,0,7.552
