67
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.451888,-0.892074,-4.11216e-08,1.48221e-08,3.25421,1.33117,4.776,16,1,0,11.776
2,-0.0577198,0.701024,-0.617449,-0.352123,5.44809,0.571388,3.0837,15,1,0,12.352
3,0.322692,0.0505125,-0.870541,-0.368072,4.46765,0.665453,4.1571,9,1,1,6.464
4,0.252612,-0.0532779,0.756994,0.600258,0.692508,0.522253,1.10823,13,1,1,11.712
5,0.742657,-0.0989191,0.111702,0.652839,2.30346,1.02882,0.250879,12,1,0,7.936
6,0.624775,-0.240595,0.675634,0.308688,0.774642,1.46707,1.50982,14,1,1,13.44
7,0.578315,0.0945004,0.673458,0.45064,1.14306,1.25219,0.819105,17,1,1,16.256
8,0.293004,-0.124682,0.741433,0.59066,0.495783,0.648143,1.30042,5,1,1,6.784
9,0.427505,0.0499047,0.796509,0.424643,1.19721,0.889889,0.964788,4,1,1,1.92
10,0.742657,-0.0989191,0.111702,0.652839,4.82784,1.43075,3.51879,14,1,0,11.072
11,-0.101357,-0.289601,-0.716998,-0.625917,2.08725,0.623711,5.90217,10,1,1,6.208
12,0.255736,0.187959,0.741735,0.590847,1.53196,0.645928,0.264335,14,1,1,10.624
13,0.129778,-0.110392,-0.847159,-0.503282,3.47147,0.342427,4.88119,5,1,1,2.304
14,0.0558692,0.184101,-0.796182,-0.573655,5.36419,0.387197,2.81187,9,1,1,10.24
15,0.255903,0.422579,0.786599,0.370407,2.15699,1.03342,0.104413,7,1,1,6.08
16,0.391581,0.327242,-0.778313,-0.365795,4.96917,1.07111,3.57691,11,1,1,8.192
17,0.575939,0.154566,-0.744765,-0.299547,4.59218,1.27782,4.06779,5,1,1,6.72
18,0.252463,-0.0532465,0.90511,0.33794,1.00559,0.521937,1.42132,9,1,1,7.04
19,0.397436,-0.499515,-0.638522,-0.429906,3.2211,1.38466,5.01854,8,1,1,3.136
20,0.241118,0.131763,0.900989,0.335738,1.71423,0.556704,0.713975,7,1,1,6.592
21,0.281185,-0.436378,-0.76574,0.379673,4.1743,1.09165,6.17109,9,1,1,9.6
22,-0.88001,-0.0635362,-0.0163344,-0.470402,5.18929,0.451348,5.72341,14,1,0,9.408
23,0.386291,-0.287217,0.632984,-0.606314,1.69533,1.00443,2.97402,11,1,1,18.56
24,0.0782629,0.319285,0.858255,-0.39412,3.3317,0.669932,0.670867,6,1,1,4.096
25,0.742657,-0.0989191,0.111702,0.652839,1.44094,1.09104,2.54595,15,1,0,10.176
26,-0.346429,-0.421281,0.600022,-0.585221,0.0847058,1.1538,4.60271,10,1,1,12.224
27,0.254865,0.420865,0.833323,0.251971,5.48185,0.217641,5.42386,17,1,0,12.992
28,0.392609,0.0405481,0.852665,-0.342309,2.05547,0.811477,1.84965,9,1,1,10.944
29,0.457316,-0.199852,-0.653261,0.56936,5.01727,1.04507,5.84127,6,1,1,5.056
30,0.43616,-0.217267,0.836725,-0.249901,1.39887,1.01794,2.32318,6,1,1,2.496
