66
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.894511,0.348267,0.0506066,-0.27568,5.73035,2.57341,0.189733,8,1,1,11.392
2,0.787096,-0.53443,-0.282583,0.12252,4.52501,2.51541,5.71798,6,1,1,4.736
3,0.626632,-0.438604,-0.564439,-0.31043,3.59888,1.74171,4.82025,13,1,1,13.504
4,0.916594,-0.360153,0.0725908,0.157723,0.0569453,2.79257,0.805731,9,1,1,16.32
5,-0.774239,0.52676,-0.0830667,-0.340849,5.92481,2.42469,0.836467,8,1,1,9.024
6,0.578805,-0.457737,-0.656195,0.157697,4.27911,1.65999,5.61736,12,1,1,14.912
7,0.713544,-0.539958,-0.407224,-0.182945,3.64237,2.21605,4.93795,6,1,1,7.616
8,0.875896,0.0578758,0.0952082,-0.469459,2.27938,2.20708,3.76702,17,1,0,12.416
9,0.716918,-0.443601,0.52278,0.126285,0.779673,2.0059,1.88787,3,1,1,2.24
10,0.829003,-0.410086,-0.378591,0.0353882,4.34621,2.36148,5.26497,8,1,1,8.256
11,0.821145,-0.554737,0.0880964,0.101126,0.12251,2.87255,1.31079,8,1,1,15.872
12,0.653927,-0.311985,-0.629998,0.279549,4.68486,1.62073,5.57517,8,1,1,9.536
13,0.791178,-0.292752,-0.53688,-0.00967928,4.33996,2.00792,5.04876,6,1,1,7.04
14,0.875896,0.0578758,0.0952082,-0.469459,5.00691,3.02075,5.64368,11,1,0,6.336
15,-0.701257,0.667285,0.0737704,-0.239848,5.22422,2.6343,0.462192,4,1,1,4.352
16,0.896654,-0.334004,-0.193929,-0.216434,3.51563,2.55187,4.22878,9,1,1,12.992
17,0.73497,-0.247831,0.598126,-0.201605,1.57067,1.77542,2.22112,8,1,1,8.256
18,-0.710333,0.376213,-0.129203,-0.580687,6.01505,1.86734,0.706002,7,1,1,4.864
19,0.508746,-0.499578,-0.664699,0.223102,4.25991,1.5876,5.81252,10,1,1,8.256
20,0.406167,0.808904,-0.38314,0.184136,3.33772,2.44663,4.59459,13,1,0,9.792
21,0.848257,-0.405334,0.0211281,-0.340174,2.6338,2.446,3.52533,11,1,1,9.152
22,0.778255,-0.513383,0.267315,-0.243514,1.7265,2.40162,2.89277,6,1,1,6.976
23,0.704429,-0.231608,0.489413,-0.458925,2.0064,1.67069,2.64171,8,1,1,4.352
24,0.813401,-0.385912,0.397954,-0.176304,1.54484,2.24094,2.43083,7,1,1,6.144
25,0.657006,-0.604525,0.0532023,-0.447283,1.73501,1.87958,2.70941,18,1,0,17.472
26,0.605064,-0.506956,0.25713,-0.557474,2.01203,1.81957,3.40683,11,1,1,12.224
27,-0.717619,0.526734,-0.24724,-0.382684,6.22361,2.19549,1.20679,6,1,1,7.36
