66
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.852889,-0.257063,0.441246,-0.10863,1.51944,2.19815,2.10493,4,1,1,1.92
2,0.737742,-0.532977,-0.385578,-0.151663,3.71201,2.28717,4.96327,7,1,1,7.616
3,0.905819,-0.33309,0.239239,0.10634,0.800155,2.6118,1.5049,13,1,1,10.944
4,0.660159,-0.389547,-0.222866,-0.602308,2.9629,1.74682,4.02908,7,1,1,6.4
5,0.551234,-0.516078,-0.152775,-0.637546,2.62432,1.71165,4.12926,11,1,1,8.832
6,-0.745098,0.487838,0.204112,-0.406425,5.23808,2.1973,0.114276,8,1,1,11.84
7,0.703101,-0.271877,-0.497385,0.429348,5.05553,1.70776,5.79348,11,1,1,9.408
8,0.814691,-0.237208,0.290489,-0.442298,2.27714,2.02637,2.8438,10,1,1,10.496
9,0.620646,-0.366646,0.380836,-0.57908,2.02626,1.61007,3.09344,8,1,1,2.752
10,0.830633,-0.34112,0.361539,-0.250948,1.78788,2.23018,2.56723,6,1,1,9.28
11,0.676907,-0.545501,-0.472528,-0.144719,3.73688,2.10778,5.09351,9,1,1,14.08
12,0.988588,-0.150643,-3.41735e-08,2.72554e-08,3.31795,2.55099,4.381,15,1,0,11.84
13,0.925045,-0.343343,-0.074596,0.144372,5.45087,2.81513,6.16168,8,1,1,14.528
14,0.988588,-0.150643,-3.41735e-08,2.72554e-08,0.640689,1.87352,1.17934,11,1,0,7.36
15,0.678633,-0.67713,-0.252066,-0.131964,3.44581,2.56458,5.01438,23,1,1,35.456
16,0.621408,-0.61,0.440408,0.218615,0.333905,2.11355,1.88617,6,1,1,4.8
17,0.845474,-0.253206,-0.467064,-0.0539625,4.30638,2.16262,4.88835,7,1,1,9.152
18,0.796242,-0.370578,-0.423882,-0.221348,3.79555,2.1444,4.66674,6,1,1,1.408
