66
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.281362,0.420883,0.208914,-0.836688,3.87843,1.0617,1.91538,6,1,1,5.056
2,0.117041,-0.65773,-0.000935894,-0.744104,1.74816,1.4632,4.53754,6,1,1,9.92
3,-0.506442,0.171781,-0.187822,-0.823851,6.18032,1.1285,0.551163,11,1,1,9.472
4,0.079798,0.46572,-0.0433366,-0.880261,4.59189,0.984267,1.78968,11,1,1,15.68
5,-0.63663,0.134961,0.122532,-0.749316,3.29773,1.9925,3.74454,14,1,0,12.864
6,-0.15503,-0.627883,-0.542393,-0.536227,2.11984,1.4066,5.74557,9,1,1,8.384
7,0.439354,-0.385602,-0.639437,-0.499399,3.32901,1.2487,4.76968,9,1,1,5.696
8,0.385058,-0.285665,-0.721306,-0.499843,3.46812,1.00006,4.74468,12,1,1,12.288
9,0.21161,0.394661,0.84904,0.280347,2.3305,0.928635,0.17325,10,1,1,9.024
10,0.195472,0.102493,0.695041,0.684255,1.27615,0.445091,0.310289,6,1,1,6.848
11,0.336873,-0.529986,-0.744812,-0.225582,3.41371,1.35793,5.42289,11,1,1,18.368
12,-0.0354056,-0.296713,-0.735358,-0.608241,2.33176,0.606907,5.71088,15,1,1,19.136
13,0.414582,-0.174062,-0.654585,-0.607736,3.56659,0.932724,4.36159,12,1,1,12.608
14,0.625532,0.234162,-0.701328,-0.249033,4.72938,1.46283,4.013,5,1,1,4.416
15,0.200737,0.362545,-0.863358,-0.287888,5.45566,0.854585,3.32541,9,1,1,8.32
16,0.514165,0.213704,-0.680942,-0.475691,4.49653,1.18108,3.70871,11,1,1,12.48
17,0.563079,0.175872,0.661012,0.46376,1.26174,1.26189,0.656266,4,1,1,3.776
18,0.194949,-0.11623,-0.933826,-0.276504,3.88689,0.457926,4.96214,5,1,1,4.288
19,0.448424,-0.264919,0.812707,0.26123,0.726185,1.09565,1.7934,6,1,1,4.8
20,0.149155,-0.437909,-0.853344,-0.240401,4.07712,0.913613,3.9484,16,1,0,13.312
21,0.0468845,0.112976,0.92188,0.367661,2.36874,0.245251,0.0138788,5,1,1,2.816
22,0.345318,-0.327448,0.835921,0.27344,0.495812,0.991941,2.0135,9,1,1,12.096
23,0.205655,0.0329865,-0.892212,-0.400719,4.4493,0.41964,4.13122,9,1,1,8.96
24,0.270539,0.166556,-0.865952,-0.386258,4.84467,0.646603,3.74098,12,1,1,17.152
25,0.248034,-0.456176,-0.765861,-0.37926,3.1798,1.09194,5.32537,9,1,1,5.568
26,0.693376,0.183917,-0.588496,-0.37293,4.40684,1.59999,3.88828,5,1,1,4.032
27,0.231264,-0.507459,-0.628807,-0.541853,2.85794,1.18316,5.14432,5,1,1,11.648
28,-0.0652441,-0.406951,-0.75016,-0.517101,2.3791,0.849621,5.83863,9,1,1,12.096
29,0.23783,0.0309157,0.776302,0.582955,1.05596,0.484384,0.797429,10,1,1,7.616
30,0.484743,-0.500074,0.53215,0.481422,0.034441,1.54089,1.63637,7,1,1,4.224
31,0.451856,0.317399,-0.603498,-0.575217,4.56334,1.16998,3.33862,11,1,1,9.536
32,0.015659,-0.220831,-0.889679,-0.399324,2.79049,0.44647,5.7905,9,1,1,13.504
33,0.198265,0.341663,0.839997,0.371972,2.19892,0.812184,0.108933,8,1,1,9.664
34,0.590251,0.0732377,-0.754461,-0.277539,4.48334,1.27398,4.23644,13,1,1,10.816
35,0.515405,0.333754,0.645365,0.45439,1.53199,1.32232,0.382681,11,1,1,8.768
36,0.173416,0.660716,0.723547,-0.0993057,3.19528,0.961882,5.6803,22,1,0,22.464
37,0.627884,0.00382965,-0.635916,-0.44873,4.10398,1.35769,4.09179,10,1,1,7.552
38,-0.0259462,-0.148663,-0.7363,-0.659612,2.23829,0.302978,5.72546,8,1,1,10.112
39,0.149155,-0.437909,-0.853344,-0.240401,0.330798,0.617048,2.06146,13,1,0,6.784
40,0.860532,-0.0189279,-0.203206,0.466726,5.85056,2.07345,5.89454,7,1,1,8.256
41,0.798277,-0.01867,-0.601632,-0.0210656,4.65401,1.84958,4.70077,7,1,1,5.248
42,0.853286,0.107481,-0.0404485,-0.508639,3.34625,2.07065,3.09565,12,1,1,9.28
43,0.813109,-0.144,0.563696,0.0191171,1.36162,1.9431,1.71218,6,1,1,8.128
44,0.804658,-0.0603742,0.562634,0.179788,1.18661,1.87784,1.33639,9,1,1,9.792
45,0.903614,0.066063,-0.410334,-0.103653,4.53794,2.26759,4.39198,3,1,1,1.728
46,0.851627,0.0653311,0.487301,0.18166,1.29053,2.04775,1.1374,4,1,1,2.752
47,0.942975,0.238344,-0.0412242,-0.228673,3.56752,2.67259,3.07238,13,1,1,12.544
48,0.904314,0.0234834,-0.246172,0.347944,5.6934,2.26097,5.64148,7,1,1,6.336
49,0.849953,0.191595,0.487124,0.059853,1.67025,2.11561,1.22683,6,1,1,8.768
50,0.890492,-0.188908,-0.409195,-0.06243,4.35195,2.28806,4.77003,9,1,1,8.576
51,0.767306,-0.183846,-0.557586,0.257953,4.91053,1.81844,5.38086,5,1,1,9.344
52,0.96707,0.0237912,0.208131,0.144534,0.988411,2.62922,0.939219,5,1,1,5.696
53,-0.63663,0.134961,0.122532,-0.749316,5.91219,1.41722,0.0468106,14,1,0,7.36
54,0.977471,0.0238414,0.208572,-0.0218857,1.69973,2.71902,1.65096,9,1,1,16.96
55,0.928571,0.194827,0.165223,-0.269256,2.79803,2.49877,2.3844,6,1,1,5.44
56,0.861246,-0.187727,0.20356,0.426118,0.231041,2.15793,0.660271,14,1,1,8
57,0.977501,0.196794,-0.0415163,-0.0635673,3.91882,2.9896,3.52148,13,1,1,12.672
58,0.960543,-0.0624193,0.000164565,-0.271038,3.07609,2.59265,3.20588,7,1,1,7.552
59,0.902229,-0.146808,-0.205025,-0.349849,3.51038,2.30654,3.83299,8,1,1,3.776
