66
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.693642,0.0143771,-0.387419,0.607092,5.73591,1.53348,5.69446,9,1,1,14.848
2,0.102139,0.591302,0.3921,-0.697272,4.02908,1.28715,1.22958,6,1,1,6.208
3,-0.392784,0.567821,0.455569,-0.561922,4.6363,1.52418,0.284383,6,1,1,3.584
4,-0.052248,0.776115,-0.448351,-0.440338,5.09902,1.50936,0.273958,16,1,0,12.544
5,-0.107442,-0.18291,0.553792,-0.80518,0.437208,0.427511,4.64101,9,1,1,9.216
6,0.676902,-0.0112811,-0.674821,-0.293757,2.55674,1.68292,5.44855,8,1,0,3.712
7,0.17626,-0.770703,0.607277,-0.0785116,0.353405,1.82358,3.04533,5,1,1,7.488
8,0.0735092,0.871074,0.31669,-0.36815,3.9178,2.12745,0.944588,11,1,1,8
9,-0.010744,0.738345,0.663586,-0.119939,3.33496,1.66146,0.164262,10,1,1,8
10,-0.137434,0.854277,0.437398,-0.244961,3.81162,2.09134,0.351009,7,1,1,6.528
11,0.0308349,0.814241,-0.13011,-0.564918,4.90091,1.90485,1.83502,6,1,1,3.136
12,-0.183582,0.959154,0.198016,-0.0843309,3.73332,2.70775,0.213501,8,1,1,13.056
13,0.239113,-0.902614,-0.194605,-0.300401,2.4046,2.4095,5.02826,10,1,1,7.168
14,0.188619,0.308362,-0.76188,-0.53747,4.12439,0.964531,1.8936,12,1,0,6.464
15,0.184335,-0.97926,-0.0737389,-0.0404125,2.82631,2.97322,5.59578,10,1,1,7.808
16,0.200471,0.8733,-0.172585,-0.409112,4.88595,2.22142,2.19564,13,1,1,13.376
17,-0.114719,-0.828092,0.372828,-0.40262,0.686141,1.97991,4.10305,5,1,1,5.056
18,0.191009,-0.717946,-0.273256,-0.611066,2.25133,1.67484,4.87287,11,1,1,13.888
19,0.390563,0.357566,0.749174,0.397926,5.57402,1.78254,2.29799,14,1,0,10.112
20,-0.0733821,-0.863021,0.457072,-0.202224,0.331719,2.09484,3.64296,8,1,1,8.96
21,0.141308,-0.987206,-0.0738575,0.00128587,3.30118,2.99372,6.15842,7,1,1,3.456
22,0.389185,-0.254542,-0.742773,0.481697,4.74932,1.75121,1.68721,12,1,0,8.384
23,0.196258,0.777169,-0.208887,-0.560229,4.82192,1.85982,2.17505,5,1,1,11.136
24,0.115971,0.878041,0.113029,-0.450355,4.33517,2.17585,1.45622,7,1,1,8.512
25,0.433548,0.293812,0.66449,-0.53307,5.13126,1.81486,2.27873,16,1,0,13.12
26,-0.0530819,0.847233,-0.00938975,-0.528479,4.79273,2.02778,1.52599,5,1,1,8.832
27,-0.196262,-0.777263,0.009245,-0.59771,1.308,1.86013,4.94426,7,1,1,4.8
28,-0.0748002,-0.953958,-0.239287,-0.16465,2.46066,2.55217,5.75875,8,1,1,9.984
29,-0.011271,0.957664,-0.258692,-0.125819,5.84227,2.55801,2.67714,3,1,1,0.896
