65
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.415958,-0.84366,0.064184,-0.333312,0.922497,2.44896,4.98022,11,1,1,12.352
2,0.214496,0.675408,0.225,-0.668723,4.08032,1.57517,1.55374,9,1,1,9.792
3,0.652687,-0.666046,-0.193518,-0.30485,0.43784,2.15374,4.68091,12,1,0,8.192
4,0.403555,0.652373,-0.625885,0.140783,5.95046,1.74863,3.91683,12,1,1,20.096
5,0.385225,0.621014,0.682105,0.0260162,2.54825,1.63896,0.517101,8,1,1,8.896
6,0.552882,0.657816,0.489484,0.148345,2.14839,2.06781,0.404677,5,1,1,4.224
7,0.454581,0.577393,-0.20754,-0.645678,4.35644,1.65094,2.54874,8,1,1,9.536
8,0.36119,-0.699362,0.522213,-0.32822,1.03785,1.81227,3.22599,6,1,1,6.336
9,0.563586,-0.631616,0.451821,-0.281586,1.28586,2.01876,2.97037,7,1,1,5.12
10,-0.29883,0.847334,0.310978,-0.309867,4.26426,2.23261,0.444557,10,1,1,5.696
11,0.466584,-0.714534,0.468992,-0.227566,1.03023,2.04488,3.01487,7,1,1,5.888
12,0.518821,-0.638812,-0.485903,0.294352,4.36837,1.93319,6.14573,14,1,1,22.912
13,0.537843,-0.835177,0.0260679,-0.111913,1.91408,2.91127,3.9114,8,1,1,3.968
14,0.507528,-0.783836,-0.354043,0.0516742,2.91168,2.40273,4.50273,16,1,0,12.288
15,-0.532391,0.582076,-0.0711132,-0.610483,5.5692,1.81781,0.945914,8,1,1,4.8
16,0.399835,-0.601657,-0.388878,-0.571765,2.75461,1.61453,4.72312,6,1,1,4.096
17,-0.359102,0.695675,-0.364307,-0.504343,5.81447,1.7986,1.71984,8,1,1,6.336
18,0.33301,-0.649588,0.164248,-0.663447,1.80182,1.63657,3.99599,5,1,1,8.576
19,-0.272718,0.710246,0.553278,-0.339202,4.05819,1.72911,0.183361,8,1,1,9.536
20,0.276124,-0.716537,-0.636182,-0.0748576,3.39229,1.75111,5.79824,4,1,1,1.92
