65
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.729016,-0.0167448,-0.670184,0.138231,4.89283,1.63433,4.93876,14,1,1,10.624
2,0.936279,0.239721,0.249137,0.0620232,1.57746,2.6223,1.07615,7,1,1,13.504
3,0.824263,0.323305,0.280631,0.370554,4.62665,2.02516,4.56798,18,1,0,15.04
4,0.7427,0.0242948,-0.632713,0.2179,5.07676,1.67537,5.01136,10,1,1,7.232
5,0.725097,-0.139503,0.671765,0.059202,1.29283,1.66137,1.67296,10,1,1,7.232
6,0.817174,0.15009,0.404011,-0.382719,2.51078,1.96124,2.14749,5,1,1,11.52
7,0.748675,0.0654785,0.239115,-0.614835,2.85792,1.70077,2.68345,11,1,1,8.64
8,0.719225,0.105897,-0.314075,-0.610621,3.76285,1.62783,3.47047,7,1,1,4.928
9,0.885308,0.0674957,0.246482,0.388486,0.64147,2.18542,0.489285,9,1,1,5.76
10,0.938772,0.068258,0.33197,-0.0620018,1.82802,2.45263,1.68286,7,1,1,4.8
11,0.743425,-0.0579008,0.397305,0.534898,0.561129,1.6831,0.716583,10,1,1,9.536
12,0.848635,-0.143454,0.203973,-0.466513,2.56195,2.07319,2.89687,7,1,1,15.232
13,0.846769,0.0248707,-0.404392,0.344719,5.44766,2.02114,5.38893,7,1,1,9.088
14,-0.882503,0.0173292,-0.00113772,-0.469986,6.26597,2.16304,0.0220545,8,1,1,8.064
15,0.729947,-0.0577193,-0.630835,-0.256698,4.24702,1.64317,4.40484,15,1,1,17.408
16,0.892068,0.152551,-0.244556,-0.348044,3.92347,2.26284,3.58473,11,1,1,8.64
17,0.877405,0.0250358,0.36853,-0.306135,2.2925,2.14234,2.23545,7,1,1,10.816
18,0.972329,-0.0176569,0.0427971,-0.228981,2.93866,2.67138,2.97498,5,1,1,5.12
19,0.865663,-0.101746,0.489757,-0.020333,1.49529,2.117,1.72929,11,1,1,12.544
20,0.960343,0.240911,0.125765,0.0623312,1.35645,2.85993,0.864874,8,1,1,9.6
21,0.642525,0.558896,0.36853,0.372805,1.49553,2.03801,0.0637302,11,1,1,14.336
22,0.681692,0.38774,-0.525473,-0.329898,4.66893,1.80297,3.63461,8,1,1,13.056
23,-0.805357,-0.50859,-0.162258,-0.257699,1.1252,2.52271,6.28185,8,1,1,7.936
24,0.652819,0.515996,-0.41987,-0.362333,4.66928,1.96584,3.33155,5,1,1,7.04
25,0.843079,0.530758,-0.0842891,0.0202084,5.50956,2.96802,4.38584,10,1,1,10.944
26,0.872108,0.349167,0.341737,0.026951,1.87292,2.44181,1.11127,9,1,1,5.632
27,0.675242,0.384027,0.397223,-0.488657,2.97615,1.77916,1.94194,8,1,1,6.976
28,0.840165,0.529046,-0.105135,0.0563989,5.76673,2.90241,4.6428,8,1,1,10.56
29,0.824263,0.323305,0.280631,0.370554,1.02197,2.17472,0.27438,12,1,0,8.384
30,-0.643505,-0.559509,0.128875,-0.506203,0.466395,2.04238,5.3182,9,1,1,11.2
31,-0.704387,-0.498156,0.235136,-0.44765,0.131898,2.08133,5.18397,8,1,1,9.664
32,0.824263,0.323305,0.280631,0.370554,1.33432,2.07865,0.69195,11,1,0,6.272
33,0.634422,0.504708,0.535674,0.236288,1.82738,1.89067,0.483349,12,1,1,9.92
34,0.711476,0.551949,-0.340258,-0.270884,4.69982,2.2417,3.38022,11,1,1,10.432
35,0.803496,0.507496,0.260245,0.17063,1.5538,2.50869,0.427121,6,1,1,3.52
36,0.664001,0.377554,-0.623981,0.164933,5.48782,1.73847,4.45379,5,1,1,6.656
37,-0.677803,-0.531316,0.305136,-0.406421,0.0208292,2.07536,4.97435,15,1,1,13.248
38,0.722968,0.460152,-0.425817,0.290271,5.87752,2.05878,4.7439,17,1,1,21.952
39,0.820431,0.56777,-0.0424469,-0.0522372,4.42932,3.00687,3.2186,9,1,1,10.304
40,0.824263,0.323305,0.280631,0.370554,4.39946,2.44107,3.08903,16,1,0,11.84
41,0.769198,0.487335,-0.318425,0.263524,5.96846,2.28938,4.83899,5,1,1,5.056
42,0.847836,0.0248764,-0.526171,-0.0608163,2.54155,1.78087,1.40074,14,1,0,11.456
43,0.811924,0.316641,0.183531,0.454791,0.75541,2.11643,0.0117173,14,1,1,16.96
44,0.655464,0.325356,-0.380745,-0.565282,4.19509,1.64184,3.2736,8,1,1,11.136
45,0.787226,0.497932,-0.00466379,-0.363754,3.7184,2.39694,2.59043,9,1,1,5.888
46,0.723936,0.363927,-0.533782,-0.241971,4.75259,1.8892,3.82097,10,1,1,5.312
47,0.608969,0.489081,-0.619796,0.0762233,5.5114,1.7927,4.15811,5,1,1,2.688
48,-0.785067,-0.302144,-0.141902,-0.521769,0.63293,1.999,6.18133,11,1,1,8.064
49,0.732349,0.615039,-0.288776,0.0447357,5.56463,2.5485,4.16753,5,1,1,2.816
50,0.715528,0.455776,0.131941,-0.512718,3.45689,2.02575,2.32256,10,1,1,10.88
51,0.824263,0.323305,0.280631,0.370554,3.65618,2.65814,2.88702,13,1,0,9.28
52,0.722358,0.608802,0.326638,-0.0294337,2.36096,2.4733,0.960366,6,1,1,6.656
53,-0.658281,-0.280145,0.223481,-0.661997,0.0767813,1.59443,5.55526,8,1,1,5.312
54,-0.636004,-0.505679,-0.0112203,-0.582806,0.690988,1.89697,5.6307,8,1,1,10.112
55,0.777842,0.628459,-4.16701e-08,-1.32019e-08,4.26082,2.53453,2.73883,16,1,0,10.112
56,-0.855845,-0.35813,0.0513261,-0.369645,0.258341,2.3767,5.7489,4,1,1,4.48
57,0.694806,0.461378,-0.196882,-0.515376,4.09268,1.97279,2.92032,12,1,1,12.544
58,-0.855151,-0.406645,-0.0256675,-0.320463,0.5238,2.48699,5.91923,6,1,1,5.568
59,0.645606,0.432207,-0.586707,-0.228399,4.93108,1.77953,3.75122,4,1,1,1.152
60,-0.550102,-0.470407,-0.359685,-0.58884,1.25581,1.6186,6.12407,7,1,1,9.024
61,0.858417,0.3111,0.383523,-0.138734,2.26558,2.30141,1.5702,7,1,1,9.792
62,-0.826332,-0.342052,0.0918658,-0.437878,0.185667,2.21386,5.68392,4,1,1,5.76
63,0.81313,0.286975,0.407559,0.300601,1.27458,2.07953,0.596022,8,1,1,3.712
64,0.660774,0.298583,-0.308818,-0.615514,4.03102,1.62237,3.18221,10,1,1,6.016
65,0.735049,0.584733,-0.34138,-0.0353548,5.28118,2.44094,3.9372,17,1,1,17.728
