64
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.838211,-0.0367142,-0.476017,0.263559,5.17428,1.99094,5.26182,13,1,1,16.832
2,-0.127877,-0.33644,-0.849629,-0.385469,2.35245,0.736369,6.22049,10,1,0,5.824
3,0.53617,0.318355,-0.600198,-0.500933,4.55271,1.34658,3.48108,5,1,1,3.776
4,0.581346,0.142031,0.75865,0.257516,1.48318,1.28312,1.00394,8,1,1,9.472
5,0.227691,0.467911,-0.66215,-0.539233,5.14687,1.09457,2.91103,7,1,1,3.648
6,0.310145,-0.238382,-0.691468,-0.607335,3.33637,0.80381,4.64699,10,1,1,10.048
7,0.407967,-0.104267,0.680071,0.600162,0.597514,0.869273,1.09795,7,1,1,5.696
8,0.560591,-0.056887,0.780983,0.269383,1.13752,1.19716,1.33978,7,1,1,11.264
9,0.463979,0.351922,0.676871,0.450244,1.63273,1.24322,0.334909,5,1,1,5.824
10,-0.0804559,-0.462051,-0.737387,-0.486103,2.38636,0.976324,5.87275,9,1,1,8.128
11,-0.12611,0.271546,-0.798486,-0.522283,6.13872,0.60813,2.12757,15,1,0,12.416
12,0.607698,0.0368803,-0.751622,-0.253784,4.44737,1.30914,4.32615,14,1,1,12.48
13,0.185717,0.306012,-0.673737,-0.646486,4.97295,0.73216,2.92231,9,1,1,9.152
14,0.330843,0.294106,-0.641939,-0.626066,4.66619,0.917146,3.21283,2,1,1,0.64
15,0.399468,0.0223159,0.653367,0.64268,0.84945,0.823233,0.737838,11,1,1,8.448
16,0.54254,-0.417621,0.538011,0.491719,0.174299,1.50827,1.48635,4,1,1,4.032
17,0.205636,0.252947,0.853995,0.405493,2.0157,0.664114,0.239294,7,1,1,16.704
18,0.34963,-0.308095,-0.800929,-0.375965,3.55118,0.969548,4.99584,6,1,1,2.24
19,-0.12611,0.271546,-0.798486,-0.522283,4.14418,1.32861,4.31424,17,1,0,14.08
20,0.303295,0.165984,0.807562,0.477813,1.53727,0.706062,0.535777,9,1,1,7.936
21,0.00945694,-0.12965,-0.752465,-0.645677,2.50524,0.260727,5.5012,8,1,1,4.672
22,0.123298,0.410056,-0.647951,-0.629929,5.2198,0.884981,2.66238,10,1,1,9.216
23,-0.0275808,-0.688539,-0.551126,-0.470545,2.39487,1.52047,5.61653,10,1,1,8.512
24,-0.177141,0.597111,-0.600696,-0.501242,5.87619,1.34472,2.15781,10,1,1,12.8
25,0.384742,0.0226763,0.794082,0.469993,1.09525,0.791304,0.977505,16,1,1,17.024
26,-0.0942538,-0.511582,-0.605303,-0.602502,2.17632,1.09415,5.6823,5,1,1,2.048
27,0.513785,0.212248,-0.692641,-0.459591,4.51831,1.17889,3.7348,7,1,1,8.32
28,0.409202,-0.104583,0.819892,0.386514,0.880052,0.872085,1.38049,4,1,1,4.672
29,0.0344542,0.0773235,-0.784314,-0.614561,5.19937,0.169508,2.89613,6,1,1,4.48
30,0.0309199,-0.487987,-0.620995,-0.6126,2.42628,1.02181,5.44131,11,1,1,14.336
31,0.572398,-0.00231436,0.640065,0.512516,3.41955,1.31745,4.61748,12,1,0,9.856
32,0.625099,-0.240863,-0.526827,-0.523153,3.5627,1.46814,4.29828,6,1,1,13.184
33,-0.127877,-0.33644,-0.849629,-0.385469,3.78494,1.51706,4.56629,13,1,0,14.016
34,0.337958,0.186027,0.814867,0.432632,1.5859,0.792093,0.579532,11,1,1,12.8
35,0.217854,-0.264991,0.761375,0.550115,0.062396,0.700316,1.82782,7,1,1,7.296
36,0.570036,-0.216228,-0.736613,-0.292758,3.97154,1.31128,4.69665,6,1,1,8.896
37,0.359493,-0.181613,0.808527,0.429029,0.615153,0.829068,1.55074,5,1,1,5.76
38,0.431532,0.333658,0.698563,0.463101,1.64357,1.15392,0.327201,9,1,1,10.688
39,0.450524,-0.264233,0.77288,0.360367,0.604064,1.09908,1.66493,10,1,1,10.752
40,-0.134531,-0.212467,-0.78589,-0.564922,1.95388,0.508412,6.2244,7,1,1,10.24
41,0.286945,-0.11234,-0.796082,-0.52086,3.75985,0.6265,4.50617,9,1,1,5.312
42,0.282711,0.452552,-0.783563,-0.318277,5.33896,1.1257,3.31415,6,1,1,10.496
43,0.230834,0.468837,-0.777412,-0.350054,5.40259,1.09976,3.17602,9,1,1,10.048
