65
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.492431,-0.254389,0.825957,0.102923,0.969986,1.17494,1.92366,5,1,1,6.08
2,0.338265,-0.0537121,0.927788,0.147993,1.25514,0.699159,1.57009,9,1,1,8.064
3,0.113657,-0.515208,-0.849189,0.0228177,3.38558,1.11154,6.09292,7,1,1,4.8
4,0.0364909,0.612288,-0.789314,0.0274744,6.25845,1.32065,3.23591,9,1,1,10.24
5,0.356233,-0.507983,-0.782286,-0.055505,3.68234,1.33861,5.60077,5,1,1,3.072
6,0.367791,0.0120709,-0.929399,0.0283208,4.77566,0.75369,4.71004,6,1,1,5.952
7,0.252922,0.112471,0.960816,0.0145869,1.97404,0.560929,1.13719,14,1,1,12.672
8,0.202691,-0.609136,0.766599,0.0139872,0.302984,1.39414,2.80212,8,1,1,9.152
9,0.232694,0.64133,-0.715678,0.149512,6.14107,1.50164,3.6956,5,1,1,7.744
10,0.163173,-0.610311,0.775047,0.0140142,0.24317,1.36761,2.86226,7,1,1,7.872
11,0.59023,-0.305083,-0.739331,0.109283,4.38207,1.45342,5.33621,11,1,1,18.112
12,0.0798492,0.0539935,-0.988638,0.115338,5.4231,0.193081,4.23396,9,1,1,6.4
13,0.157974,0.536858,-0.828287,0.0277143,6.03045,1.18785,3.46122,13,1,1,10.56
14,0.441253,-0.311689,-0.834075,0.111649,4.23047,1.14143,5.46045,6,1,1,4.544
15,0.451269,-0.215386,0.86316,-0.0701423,1.20657,1.04728,2.09719,6,1,1,4.032
16,0.203825,-0.572489,0.791167,-0.0690368,0.429079,1.3063,2.88659,7,1,1,8.256
17,0.362914,-0.490847,0.777406,-0.151666,0.829331,1.31323,2.69761,11,1,1,6.72
18,0.525051,0.474815,0.696437,0.117675,2.13861,1.57305,0.668212,5,1,1,11.392
19,-0.0449216,-0.318053,-0.928619,-0.185716,2.80389,0.654014,6.22611,10,1,1,9.28
20,0.445067,-0.0696486,-0.873708,-0.183573,4.35006,0.934613,4.66052,16,1,0,12.672
21,0.330316,-0.338642,0.879203,0.0567024,0.70855,0.985524,2.30424,10,1,1,11.264
22,0.440671,-0.448773,0.756586,0.178856,0.544153,1.36043,2.13317,11,1,1,6.976
23,0.332376,0.111257,0.908495,0.227562,1.64837,0.716215,1.00235,9,1,1,9.28
24,0.301076,0.301315,0.875327,0.228833,2.10089,0.880033,0.529298,13,1,1,10.368
25,0.675575,-0.0115625,0.734044,-0.0681384,1.64624,1.48376,1.68047,11,1,1,10.88
26,0.445067,-0.0696486,-0.873708,-0.183573,4.56681,1.28764,5.34548,14,1,0,9.024
27,0.126914,-0.381839,0.908417,-0.113448,0.445132,0.828226,2.94495,7,1,1,9.792
28,0.67571,-0.0511066,0.734893,-0.0271333,1.53221,1.4891,1.68319,12,1,1,9.6
29,0.445143,-0.192049,-0.874505,-0.0143255,4.2887,1.01228,5.10332,12,1,1,6.208
30,0.00369145,-0.220499,0.975271,0.01463,0.00173998,0.444715,3.10985,6,1,1,4.416
31,0.445067,-0.0696486,-0.873708,-0.183573,0.507207,0.717529,3.15533,15,1,0,15.04
32,0.00370275,-0.137592,0.990373,0.0146747,0.0120883,0.276161,3.09987,10,1,1,7.488
33,0.365831,0.430996,0.813006,0.139399,2.26798,1.20165,0.533989,6,1,1,8.448
34,0.640191,0.0679452,0.762126,-0.0685826,1.76628,1.39887,1.55481,7,1,1,7.424
35,0.459159,0.0550373,-0.272087,0.843867,6.09058,0.961504,5.85198,12,1,1,16.896
36,0.177489,0.314617,0.293708,-0.885014,3.87832,0.73917,1.764,11,1,1,7.424
37,0.0629153,-0.548619,0.364626,-0.749738,1.23232,1.17004,4.14555,17,1,1,24.32
38,0.311745,-0.494824,0.461674,-0.66695,1.52751,1.24936,3.54471,8,1,1,8.256
39,0.499589,-0.0154983,-0.380498,0.778069,5.79734,1.0468,5.85936,9,1,1,14.016
40,-0.0116441,0.395356,0.367318,-0.841805,4.33039,0.813284,1.12991,13,1,1,12.736
41,0.431604,0.0196159,-0.607474,0.666564,4.99265,1.40308,6.13714,17,1,0,15.488
42,0.18446,0.463716,0.234532,-0.834228,4.05973,1.04502,1.67533,13,1,1,15.424
43,-0.306299,0.495218,0.354484,-0.731629,4.81513,1.24308,0.565694,9,1,1,10.176
44,-0.461039,0.445015,0.332335,-0.692068,5.06778,1.39102,0.320028,12,1,1,10.112
45,-0.143452,-0.653256,0.20448,-0.714749,1.07599,1.46524,4.64991,9,1,1,11.072
46,0.344205,0.176674,-0.651134,0.652942,5.97339,0.794533,5.02496,7,1,1,11.136
47,0.042552,-0.193662,0.436339,-0.877663,1.32571,0.399209,4.03473,8,1,1,7.488
48,0.656669,-0.146274,0.489816,-0.554501,2.19888,1.47587,2.63723,5,1,1,2.24
49,-0.185422,-0.593158,0.340026,-0.705808,0.818874,1.34122,4.56642,4,1,1,4.736
50,-0.238879,-0.575789,0.222664,-0.749549,0.888774,1.3461,4.81689,4,1,1,2.24
51,0.345725,-0.473564,0.275912,-0.761633,1.85385,1.25305,3.73422,7,1,1,9.92
52,0.460089,0.290558,-0.475975,0.690899,6.24321,1.15077,5.11666,13,1,1,11.648
53,0.262015,-0.645867,0.379227,-0.608598,1.39895,1.54238,3.76975,7,1,1,10.88
54,0.330642,-0.607286,0.346608,-0.633832,1.56896,1.52702,3.71339,6,1,1,5.568
55,0.0827211,-0.580791,0.390035,-0.709726,1.20977,1.25384,4.06841,15,1,1,18.048
56,0.287195,-0.286818,0.514453,-0.755375,1.75895,0.835903,3.32844,9,1,1,8.896
57,0.22547,0.152464,0.641574,-0.717147,3.00634,0.551315,1.81718,13,1,1,8.064
58,0.636897,-0.113203,-0.402213,0.647898,5.55171,1.40697,5.90352,12,1,1,8.896
59,0.251471,0.024247,0.676322,-0.691927,2.46372,0.510809,2.27148,6,1,1,5.12
60,0.580808,0.222058,-0.54398,0.563417,5.88052,1.3421,5.15016,7,1,1,6.656
61,0.154177,0.111358,0.275298,-0.942359,3.48288,0.382705,2.23185,5,1,1,3.392
62,0.139197,0.0547744,0.278565,-0.948697,3.23088,0.3003,2.4811,5,1,1,1.856
63,0.569425,0.395371,0.448013,-0.564554,3.0777,1.53191,1.86387,9,1,1,8.256
64,0.304813,-0.424634,0.233788,-0.819828,1.91559,1.10005,3.81201,11,1,1,8.96
65,-0.265826,0.342365,0.435415,-0.78901,4.86834,0.89663,0.406326,11,1,1,8.96
