63
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.998619,0.0525429,-9.68551e-09,-4.26248e-08,0.276,3.14159,0.170866,11,1,1,11.648
2,0.925668,0.378337,-3.96358e-08,-1.84306e-08,1.52354,3.14159,0.747541,14,1,1,16.576
3,-0.178231,-0.778704,-0.548773,-0.246377,2.37276,3.14159,0.0774412,15,1,0,10.816
4,-0.178231,-0.778704,-0.548773,-0.246377,1.36867,3.14159,1.88945,11,1,0,7.104
5,0.812622,-0.582791,-4.36012e-08,-3.10177e-09,0.877617,3.14159,2.12194,7,1,1,4.672
6,0.99158,-0.129499,-4.03829e-08,1.67304e-08,1.8337,3.14159,2.09343,11,1,1,14.848
7,0.502925,-0.86433,-4.37026e-08,8.76645e-10,0.547036,3.14159,2.63467,9,1,1,10.112
8,0.137449,0.799789,0.430992,-0.394576,1.12394,3.14159,1.42819,12,1,0,8.256
9,0.57323,0.819395,-3.60825e-08,-2.46726e-08,1.93139,3.14159,0.010684,3,1,1,3.392
10,0.863791,0.50385,-3.60141e-08,-2.47723e-08,1.49632,3.14159,0.440221,6,1,1,6.784
11,0.87329,0.487202,-2.51366e-08,-3.57608e-08,1.12156,3.14159,0.103793,13,1,1,14.784
12,0.999785,0.0207256,-3.64121e-08,-2.41836e-08,1.00526,3.14159,0.963801,8,1,1,7.68
13,0.652925,-0.757422,-4.36549e-08,2.22139e-09,0.762281,3.14159,2.48099,7,1,1,16.64
14,0.983644,0.180124,-3.4964e-08,-2.62336e-08,1.10821,3.14159,0.745988,4,1,1,6.848
15,0.936451,-0.350797,-4.01704e-08,1.72343e-08,1.61765,3.14159,2.3345,9,1,1,16.256
16,0.554439,-0.832224,-4.34594e-08,4.68667e-09,0.695114,3.14159,2.66133,3,1,1,0.576
17,0.999561,0.0296129,-2.42683e-08,3.63557e-08,2.58261,3.14159,2.52338,7,1,1,9.024
18,0.998227,-0.0595206,-1.7624e-08,4.0001e-08,2.66704,3.14159,2.78615,7,1,1,5.824
19,0.98797,-0.154645,-3.86622e-08,2.03941e-08,1.90093,3.14159,2.21147,8,1,1,8.704
20,0.999697,0.0246077,-4.33408e-08,-5.67999e-09,1.46509,3.14159,1.41587,9,1,1,5.504
21,0.137449,0.799789,0.430992,-0.394576,0.99908,3.14159,1.24628,13,1,0,7.424
22,0.955521,-0.294924,-3.62144e-08,2.44786e-08,1.86581,3.14159,2.46456,9,1,1,7.168
23,0.941235,-0.337754,-3.92287e-08,1.92819e-08,1.68311,3.14159,2.37217,9,1,1,8.64
24,0.993597,0.112984,-3.16901e-08,-3.01069e-08,0.924239,3.14159,0.697787,10,1,1,9.92
25,0.99962,0.0275595,-4.15474e-08,-1.35829e-08,1.28239,3.14159,1.22726,10,1,1,6.144
