64
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.518764,0.285634,0.728075,-0.34526,2.51691,1.26758,1.51029,6,1,1,5.632
2,0.283922,0.0460877,-0.796716,0.531515,5.46164,0.58352,5.13979,10,1,1,18.56
3,0.102223,0.531023,0.73997,-0.400011,3.447,1.14271,0.685755,7,1,1,11.392
4,0.518293,0.285374,0.745346,-0.307235,2.46509,1.26624,1.45847,9,1,1,6.912
5,0.256107,-0.545782,-0.752854,0.264085,3.91771,1.29422,6.18181,10,1,1,11.584
6,0.102226,0.531037,0.719067,-0.436454,3.49695,1.14274,0.735706,11,1,1,10.624
7,0.484523,0.391452,0.751684,-0.216735,2.53106,1.34487,1.17197,6,1,1,4.608
8,0.531785,0.142112,0.713632,-0.433287,2.3776,1.1658,1.85533,9,1,1,13.44
9,0.589118,0.360287,-0.617205,0.377083,5.80971,1.52451,4.71194,12,1,1,14.976
10,0.666545,-0.139224,-0.645416,0.346082,4.99867,1.49806,5.4105,10,1,1,16.064
11,-0.0993379,-0.38853,0.805039,-0.437138,0.247141,0.825278,3.88936,8,1,1,8.384
12,0.522643,-0.0385627,0.705421,-0.477219,2.09193,1.10323,2.23923,12,1,1,17.024
13,-0.139662,0.655723,0.702942,-0.237476,3.67724,1.46958,0.11594,14,1,1,10.24
14,-0.225729,0.354297,-0.371314,-0.828037,4.74223,1.43221,6.1065,11,1,0,8.896
15,0.615671,0.0775677,-0.709158,0.334704,5.27869,1.33886,5.02804,7,1,1,6.336
16,0.321968,0.725038,0.20674,-0.572639,3.94801,1.83246,1.64224,12,1,1,12.032
17,0.205371,0.753782,-0.412087,-0.468849,5.16745,1.79336,2.55785,7,1,1,5.056
18,0.203795,0.72073,-0.645388,-0.149967,5.7793,1.69307,3.18884,11,1,1,10.816
19,0.456362,0.79173,0.388013,-0.119764,0.355427,1.9393,4.44114,18,1,0,19.264
20,0.363471,0.630788,-0.481331,-0.488176,4.96798,1.63084,2.87188,5,1,1,7.744
21,-0.364182,-0.715337,-0.132798,-0.581402,1.32445,1.86364,5.40785,7,1,1,8.512
22,0.273035,0.721793,0.239917,-0.588988,3.96394,1.76304,1.54562,5,1,1,5.76
23,-0.448791,-0.865041,0.0344165,-0.2216,0.938137,2.68923,5.03689,11,1,1,10.88
24,0.456362,0.79173,0.388013,-0.119764,2.91808,2.30528,0.822278,16,1,0,14.72
25,0.513192,0.639737,0.569823,0.0516908,2.37505,1.92331,0.585609,8,1,1,6.464
26,0.786758,-0.312939,-0.173591,-0.502938,3.77971,1.90318,2.0954,11,1,0,6.72
27,0.358961,0.622973,0.694448,-0.028172,2.6594,1.6047,0.563286,10,1,1,12.608
28,0.621385,0.733865,-0.266076,0.0672852,5.82828,2.58555,4.09187,3,1,1,4.8
