66
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.728132,-0.266744,-0.487401,-0.401388,3.67231,1.77487,4.37462,8,1,1,2.88
2,0.67001,-0.376227,-0.404288,-0.496076,3.31375,1.75272,4.33704,10,1,1,8.768
3,0.621839,-0.492099,0.403028,-0.456862,1.74927,1.83143,3.08817,5,1,1,7.872
4,0.698601,-0.344881,0.47689,-0.406927,1.81862,1.78644,2.73577,13,1,1,8.704
5,0.115728,-0.104807,0.408218,-0.899434,1.97961,0.313549,3.45145,6,1,1,4.864
6,-0.25359,0.642955,0.436566,-0.575943,4.43947,1.52618,0.546513,7,1,1,5.696
7,0.0907895,0.53388,0.59426,-0.59463,3.75886,1.14455,0.954154,8,1,1,9.088
8,-0.582373,-0.36535,0.334589,-0.644524,0.0814543,1.51605,5.24407,12,1,1,12.864
9,0.279559,0.0482355,-0.523727,0.803262,5.87626,0.575279,5.53455,5,1,1,9.728
10,0.255854,0.021103,0.563237,-0.785403,2.60176,0.519259,2.43717,9,1,1,12.224
11,-0.11283,0.639025,0.276406,-0.708884,4.51537,1.4123,1.02425,7,1,1,3.328
12,0.28413,-0.0442675,-0.62661,0.724342,5.41545,0.583352,5.72456,10,1,1,6.848
13,-0.246662,0.393479,0.521293,-0.715951,4.64299,0.965916,0.381505,3,1,1,2.24
14,0.343559,0.62428,0.677802,0.18118,2.91427,0.707204,2.76156,13,1,0,7.872
15,0.343559,0.62428,0.677802,0.18118,1.10839,0.365922,4.37386,15,1,0,10.56
16,0.410765,-0.171627,0.45528,-0.771062,2.21244,0.922748,3.00399,12,1,1,6.848
17,-0.375944,-0.565073,0.263692,-0.685438,0.616487,1.492,4.93219,9,1,1,7.616
18,0.0159164,-0.618116,0.533737,-0.576892,0.849979,1.33321,3.94008,5,1,1,9.728
19,0.444756,-0.150631,0.373983,-0.799774,2.37763,0.977611,3.03075,3,1,1,0.96
20,0.0327737,0.322901,0.404658,-0.854934,4.16916,0.661092,1.22987,8,1,1,5.184
21,0.329233,0.125139,-0.475585,0.80608,6.11338,0.719869,5.38693,8,1,1,12.352
22,-0.386247,-0.483286,0.326634,-0.714534,0.467771,1.3341,4.95788,8,1,1,8.32
23,0.615891,-0.310838,0.40383,-0.600816,2.08242,1.52266,3.01721,6,1,1,6.464
24,0.332116,0.441851,0.349855,-0.756352,3.63459,1.17132,1.7821,17,1,1,13.952
25,0.285187,0.370156,0.335642,-0.817922,3.66652,0.972416,1.83785,8,1,1,7.872
26,0.960935,-0.276775,-4.36669e-08,-1.97229e-09,5.68218,1.52931,6.04049,10,1,0,4.8
27,-0.194889,-0.8584,0.215758,-0.42263,3.82436,0.695705,0.895947,12,1,0,8.704
28,0.222916,-0.419824,0.372479,-0.797067,1.62176,0.99069,3.78711,9,1,1,7.744
29,0.0456894,-0.196982,0.497365,-0.843646,1.26602,0.40723,3.95178,14,1,1,11.52
30,-0.10722,-0.641785,0.313832,-0.691467,0.979198,1.41696,4.45186,5,1,1,5.12
31,0.98613,0.165973,-4.21267e-08,-1.16631e-08,3.37678,1.43984,2.16585,14,1,0,7.872
32,0.604144,-0.218559,-0.279026,0.713714,5.56339,1.39541,6.25762,8,1,1,13.248
33,0.359637,-0.0947903,-0.577643,0.726639,5.35382,0.762151,5.86924,9,1,1,9.344
34,0.122229,-0.245805,0.249706,-0.928594,1.76956,0.556177,3.98824,8,1,1,6.144
35,0.471706,0.114044,-0.407754,0.773449,6.03524,1.0134,5.56081,11,1,1,10.624
36,0.116682,-0.480236,0.405282,-0.769094,1.32416,1.03385,3.98906,11,1,1,16
37,0.346757,0.0265291,0.512852,-0.784881,2.63918,0.710384,2.48646,5,1,1,1.152
38,-0.110581,0.240103,0.292883,-0.918881,4.83543,0.535047,0.830642,11,1,1,12.736
39,-0.214908,-0.730159,0.569354,-0.310674,0.213259,1.7301,3.92734,6,1,1,5.76
40,0.552181,0.814307,0.0238615,-0.177289,3.98273,2.78188,2.03289,7,1,1,8.832
41,0.98613,0.165973,-4.21267e-08,-1.16631e-08,2.3773,1.58631,0.241897,16,1,0,10.88
42,0.379419,0.686883,0.323897,-0.528512,3.65791,1.80445,1.52565,9,1,1,7.68
43,0.503671,0.733048,-0.448055,-0.0905677,5.48173,2.19209,3.54415,14,1,1,12.352
44,-0.388671,-0.620573,-0.486168,-0.476933,1.80624,1.64321,6.06692,16,1,1,17.856
45,0.34527,0.0264153,0.28053,-0.895206,2.10147,1.63158,6.13744,14,1,0,16.064
