66
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.979605,-0.0116585,-0.136081,0.147378,5.52572,2.73766,5.54952,5,1,1,4.224
2,-0.717312,0.0927085,0.0103716,-0.690479,6.13963,1.61708,0.113512,7,1,1,8.448
3,0.841971,0.114742,0.151369,-0.504982,2.98581,2.03103,2.71492,8,1,1,6.72
4,0.70448,-0.173878,-0.638487,0.256531,4.85245,1.62387,5.33641,6,1,1,8.256
5,0.706107,-0.14859,-0.405189,-0.561387,3.55937,1.61214,3.97419,9,1,1,9.856
6,-0.244039,0.843778,-0.211636,-0.428596,0.642537,1.87557,0.463457,15,1,0,10.112
7,0.913762,0.0311727,0.400539,-0.0602954,1.75431,2.30752,1.68611,6,1,1,4.736
8,0.938376,-0.14024,-0.0522391,0.311535,5.9687,2.49882,6.2654,6,1,1,5.376
9,0.78523,-0.0941747,-0.570558,0.22138,4.96315,1.82442,5.20188,12,1,1,13.824
10,0.771672,0.154323,-0.608682,0.101064,5.07431,1.81171,4.67954,5,1,1,3.904
11,-0.365874,0.520334,0.274027,-0.721317,3.70351,1.6212,3.24062,12,1,0,5.888
12,0.948,-0.0975405,0.237675,0.187861,0.7994,2.52601,1.00446,6,1,1,8.96
13,0.317779,-0.648103,0.535939,-0.437892,1.14093,1.61285,3.37077,10,1,1,10.368
14,0.507065,-0.644102,0.484004,0.306198,0.102843,1.92193,1.91061,13,1,1,13.056
15,0.657432,-0.724955,0.171685,-0.1129,1.31829,2.72768,2.9867,11,1,1,8.832
16,0.504256,-0.804191,-0.172276,-0.263293,2.71026,2.50142,4.73173,12,1,1,11.392
17,-0.267105,0.815006,0.316909,-0.404955,4.36506,2.0614,0.590067,12,1,1,13.632
18,0.507491,-0.809704,0.294612,0.00604925,0.539335,2.54336,2.5612,9,1,1,7.488
19,-0.276524,0.924675,-0.113092,-0.236052,5.44976,2.61193,1.727,9,1,1,10.432
20,-0.244039,0.843778,-0.211636,-0.428596,5.4526,2.14484,1.74792,16,1,0,11.648
21,-0.632116,0.7657,0.00956611,-0.118497,5.32196,2.90326,0.800121,9,1,1,11.968
22,0.203998,-0.694969,0.417523,-0.548706,1.20586,1.62001,3.77642,6,1,1,4.224
23,0.629177,-0.680517,-0.364943,-0.0885932,3.64966,2.37163,5.29882,8,1,1,7.744
24,0.474758,-0.591406,-0.632913,-0.15577,3.5767,1.72168,5.36544,8,1,1,5.696
25,-0.0564,-0.965211,0.21816,-0.132642,4.80976,2.84115,0.550394,16,1,0,14.592
26,0.293378,-0.775259,-0.336633,-0.446744,2.57832,1.95433,4.99637,12,1,1,9.216
27,-0.514709,0.738008,0.173355,-0.400457,4.91285,2.23847,0.55326,7,1,1,4.672
28,0.393297,-0.782346,0.477232,-0.0741745,0.62001,2.13352,2.82997,8,1,1,8.064
29,0.39853,-0.879448,-0.157506,-0.207213,2.64622,2.61497,4.93686,15,1,1,19.136
30,-0.244039,0.843778,-0.211636,-0.428596,3.79007,2.6453,0.0656505,17,1,0,18.88
31,-0.595748,0.789111,-0.0835362,-0.124136,5.95139,2.84121,1.51646,8,1,1,7.808
32,0.319729,-0.736462,-0.54498,-0.241649,3.13382,1.86419,5.45624,11,1,1,10.304
33,0.437436,-0.609191,-0.434204,-0.499002,2.90961,1.69605,4.80572,12,1,1,10.56
34,-0.463065,0.572351,-0.29717,-0.608009,5.84724,1.65493,1.34517,5,1,1,5.248
35,0.480085,-0.60009,0.599123,-0.224637,1.03347,1.75298,2.82556,9,1,1,8.576
36,0.519829,-0.585872,0.618652,0.0616594,0.6264,1.79973,2.31651,5,1,1,4.224
37,-0.292048,0.77279,-0.369008,-0.425837,5.78773,1.94442,1.9235,7,1,1,8.192
38,-0.313631,0.640723,-0.496575,-0.494492,5.9551,1.58858,1.90309,9,1,1,9.408
39,0.501954,-0.716727,0.447129,-0.185524,1.00426,2.13095,2.92394,8,1,1,5.824
40,-0.417055,0.738771,-0.336569,-0.408661,5.91528,2.02577,1.74583,8,1,1,6.272
41,0.325697,-0.662188,0.673574,-0.0415464,0.518708,1.66006,2.74609,4,1,1,4.672
42,0.440323,-0.865842,0.0487973,-0.23249,1.83437,2.6619,4.03504,4,1,1,8.896
43,0.591196,-0.620908,0.153907,-0.491196,2.02805,2.06018,3.64786,11,1,1,17.344
44,0.477802,-0.759124,-0.373867,-0.235923,3.14043,2.22576,5.15849,7,1,1,5.696
